Lp,"Numer RSPO","Typ szkoły_placówki","Nazwa szkoły_placówki","Liczba uczniów ogółem","Liczba oddziałów ogółem","wychowanie przedszkolne","klasa wstępna","klasa I","klasa II","klasa III","klasa IV","klasa V","klasa VI","klasa VII","klasa VIII","Typ organu prowadzącego","Organ prowadzący",Wojewodztwo,Powiat,Gmina,Miejscowość,Ulica,"Nr domu","Nr lokalu","Kod pocztowy",Poczta,Telefon,"Specyfika szkoły","Kategoria uczniów","Publiczność szkoły_placówki"
47,12137,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 31 IM. DR. HENRYKA JORDANA W KRAKOWIE",404,19,0,0,41,57,35,53,59,47,52,60,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Bolesława Prusa",18,,30-117,Kraków,124273800,"brak specyfiki","Dzieci lub młodzież",publiczna
48,12139,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 126 IM. KOMISJI EDUKACJI NARODOWEJ W KRAKOWIE",401,19,0,0,60,61,43,51,42,57,62,25,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Tysiąclecia",57,,31-610,Kraków,126482490,"brak specyfiki","Dzieci lub młodzież",publiczna
49,12149,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 155 IM. ŚW. JADWIGI KRÓLOWEJ W KRAKOWIE",652,29,0,0,97,75,74,98,87,69,81,71,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle 2 Pułku Lotniczego",21,,31-869,Kraków,126471008,"brak specyfiki","Dzieci lub młodzież",publiczna
50,12184,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 89 IM. KORNELA MAKUSZYŃSKIEGO W KRAKOWIE",624,26,0,0,91,93,79,75,73,73,85,55,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Piastów",34a,,31-624,Kraków,126481058,"brak specyfiki","Dzieci lub młodzież",publiczna
51,12248,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 119 IM. JANINY PORAZIŃSKIEJ W KRAKOWIE",434,20,0,0,57,50,64,55,61,70,51,26,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Bolesława Czerwieńskiego",1,,31-319,Kraków,126374241,"brak specyfiki","Dzieci lub młodzież",publiczna
52,12271,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 92 IM. BOHATERÓW WESTERPLATTE W KRAKOWIE",413,19,0,0,37,59,50,66,48,73,43,37,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Józefa Strusia",19,,31-810,Kraków,126484019,"brak specyfiki","Dzieci lub młodzież",publiczna
53,12450,"Szkoła podstawowa","SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 22 IM. MJR. HENRYKA SUCHARSKIEGO W KRAKOWIE",304,17,16,0,36,38,38,39,35,32,39,31,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Adama Chmielowskiego",1,,31-067,Kraków,124305336,"brak specyfiki","Dzieci lub młodzież",publiczna
54,12473,"Szkoła podstawowa","SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 3 IM. ANDRZEJA FRYCZA-MODRZEWSKIEGO W KRAKOWIE",173,10,12,0,20,18,19,18,17,20,20,29,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Topolowa,22,,31-506,Kraków,124210459,"brak specyfiki","Dzieci lub młodzież",publiczna
55,12495,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 25 IM. TADEUSZA KOŚCIUSZKI W KRAKOWIE",533,23,0,0,79,72,50,61,64,69,79,59,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Komandosów,29,,30-334,Kraków,122663598,"brak specyfiki","Dzieci lub młodzież",publiczna
56,12532,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 74 IM. STANISŁAWA STASZICA W KRAKOWIE",168,10,48,0,16,17,11,18,16,17,14,11,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Branicka,26,,31-985,Kraków,126450396,"brak specyfiki","Dzieci lub młodzież",publiczna
57,13048,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 114 IM. ARKADEGO FIEDLERA W KRAKOWIE",601,25,0,0,75,90,69,73,87,81,71,55,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Łąkowa,31,,31-443,Kraków,124110280,"brak specyfiki","Dzieci lub młodzież",publiczna
58,13049,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 142 IM. TADEUSZA KOŚCIUSZKI W KRAKOWIE",164,11,48,0,17,17,15,15,20,11,13,8,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Drożyska,13,,31-998,Kraków,126450420,"brak specyfiki","Dzieci lub młodzież",publiczna
